feature,weight
intercept,2.031908791914804
Pclass,-0.9378361581137541
Sex,-1.2465829481436188
SibSp,-0.41441813371468716
Parch,-0.14503294973488493
Ticket,-0.16842548077737737
Age_10-20,-0.04744511546242427
Age_20-30,-0.39251897658247364
Age_30-40,0.12018293779058288
Age_40-50,-0.45657315454898145
Age_50+,-0.8401394303327445
Age_<10,1.6164110963332807
Fare_10-20,-0.29706981953829464
Fare_20-50,-0.13221190003253946
Fare_50+,0.619325216868766
Fare_<10,-0.19012614010069145
Embarked_C,0.022895944162573324
Embarked_Q,0.18584955519723811
Embarked_S,-0.2088281421625696
