feature,shap_importance
Sex,1.1934677605145267
Pclass,0.6990978237568142
SibSp,0.2768091164814869
Age_<10,0.23315904345058378
Age_20-30,0.19353710367606722
Fare_50+,0.17128031004799052
Ticket,0.15445332009576676
Age_50+,0.13151194411789593
Fare_10-20,0.09916871177798416
Fare_<10,0.08887315590627544
Parch,0.08663709123409097
Age_40-50,0.08514055810433092
Embarked_S,0.08205724338680372
Fare_20-50,0.05005172087088226
Age_30-40,0.03613426213300483
Embarked_Q,0.03139873698308531
Age_10-20,0.00940817319591666
Embarked_C,0.0066388739638083335
