feature,mean_importance
Fare_<10,-0.024539557830216906
Fare_50+,-0.011554368356565103
Age_20-30,-0.009141836702308592
Fare_10-20,-0.004410112686019441
Age_30-40,-0.004386686871261291
Parch,-0.0007994997566134421
Embarked_S,-0.0005012941669688131
Age_10-20,0.0009425664761619323
Embarked_C,0.0016875899427340024
Age_40-50,0.005118012565747909
Ticket,0.005198386878969808
Fare_20-50,0.005248017056208243
Embarked_Q,0.005874237671994131
Age_50+,0.010394605973025172
SibSp,0.024337551034483085
Pclass,0.06456694470907297
Age_<10,0.08490870640080761
Sex,0.4732818294953334
